	Signature 1	Signature 2	Signature 3	Signature 4	Signature 5	Signature 6	Signature 7	Signature 8	Signature 9	Signature 10	Signature 11	Signature 12	Signature 13	Signature 14	Signature 15	Signature 16	Signature 17	Signature 18	Signature 19	Signature 20	Signature 21	Signature 22	Signature 23	Signature 24	Signature 25	Signature 26	Signature 27	Signature 28	Signature 29	Signature 30
A02	9.710867176639495	0.0	4.211391293115044	0.0	0.0	3.006896420680247	190.40744370925268	0.0	0.0	3.904213138665754	20.796497723962386	1.072484862227783e-14	1.1645800743526078	9.478072919401076e-16	0.0	1.4451288415656756e-15	1.7177712628401265	0.0	2.2779066627404328e-15	1.7495706415343881e-15	2.5179063481587516e-16	5.532818331597433	2.548740452088502e-15	0.0	0.0	6.8084012655137746e-15	0.0	0.5475208688942547	0.0	3.1468216829471916e-16
A06	30.621715849336255	0.0	0.0	5.164522250805273	0.0	1.0296135382137045e-15	206.2517654020207	9.328808693436589e-15	0.0	1.0751462326981331	0.0	5.312884357173263e-16	0.39355618460651237	0.0	0.0	0.0	1.3964324226259446	1.5651182783793152	0.0	2.7238588724034985e-15	0.7865907367307888	0.9855940319337742	41.75955861086321	3.1736953774990224e-14	0.0	4.662244513135305e-14	1.0905676354838777e-16	8.329585216111708e-17	4.274113138030213e-15	4.735821689997023e-15
COLO-829	4.585129003942315e-15	6.862920354002858	33.091743708218154	63.6300568276534	4.3730918087999527e-13	0.0	521.210004824695	0.0	1.7848716873030016e-15	6.005306723323988e-16	113.47187428202676	26.408487735870963	1.2181048340341092	0.0	0.0	0.0	8.031789497151422	42.07441596009671	2.4963670755805023e-15	1.0063768530375509e-14	0.0	2.6730743880001554e-15	0.0	0.0	9.019094917043497e-15	1.9277235347653938e-15	4.883618963595985	6.116983012654199	3.574895990127181e-15	0.0
D05	2.275516527807101	0.0	7.668634444051831e-15	2.8784098208630318	0.0	0.11847844767485505	92.74616431775411	3.9280598292958875e-16	1.077783757378193e-15	1.985860388254862e-15	9.398106879657472	4.359211083083805e-15	2.0290549443302624e-17	0.0	0.0	3.2320682073722657e-16	0.0	2.2068411863318014	1.3178257977611151e-14	4.008708193785764e-15	11.690265492092838	0.1184539416272127	19.56776338619153	0.0	0.0	1.1712782222929816e-14	2.59400450531251e-16	8.975333816368528e-16	2.6539645111068442e-14	2.094381552551474e-16
D14	0.0	1.420605718563927	1.927078641886892e-15	2.7215474219542906e-14	0.0	2.8750356933873484	134.1651987416156	0.0	0.0	4.235732797894102e-16	0.0	0.0	2.280982009332958	1.9470872779062318e-15	0.9793178739303988	0.0	0.0	7.993872600861229e-17	2.52963127787443e-15	7.48889470042117e-15	7.675044293089921e-16	0.0	2.526703113101735	0.0	1.4233102632377666e-15	0.0	3.209238430557091e-17	0.0	0.0	3.752156850067997
D35	1.4135712897873516e-14	0.0	0.0	3.836112965031964e-14	5.2674074713236675e-14	7.897237458579138e-16	282.61430205629534	8.771401489353426e-15	6.210241685089071e-15	2.5530648363943223e-15	1.1251915472785933e-14	0.0	6.242089967278158	2.682733701868914e-16	0.0	0.0	1.7796256382697137e-16	0.0	0.0	4.96306293006575e-15	5.539556604660443	0.6040513717658715	0.0	4.076528367342105e-16	3.815411742291118e-14	2.632696231870733e-15	6.18191848624212e-17	0.0	0.0	1.765375707744116e-16
D36	0.0	1.6480051128572667e-17	8.354303417687397	0.0	3.441110978192479e-14	6.039672735213677	154.21851566475118	8.208560989854136e-15	8.273313423453061e-16	0.0	2.7776683672052807e-15	9.661184456469863e-16	1.4498008986795303	5.711647061167246e-15	0.0	3.135264496095462e-15	0.0	4.668452388358332	1.905704412646734e-14	1.25605701657732e-15	9.061597913609118	7.395400938540551e-17	3.795108995812846e-15	0.6036229591281621	0.0	0.0	0.0	7.604034022572526	0.0	0.0
D41	0.0	1.3471394113105652e-14	0.0	9.601367244629692e-16	0.0	0.10503034373525973	262.7538092325247	3.4383217866286634e-14	3.612332521454054e-15	5.231012535338946	8.768333336873846e-16	0.0	3.8654852758683614e-16	0.0	3.4818476383009322	1.8315058735131334e-14	0.9325901061164464	1.8933740615053325e-16	0.0	1.8291857646537046	3.2228762542826126	0.5436820575388824	7.085985990622648e-16	0.0	8.636684052826251e-15	0.0	2.282594394767279e-16	2.899966067508454	0.0	0.0
D49	3.8936550924696824e-16	0.0	2.3096551054262798e-15	1.050631192400968e-15	0.0	3.03478615618254e-15	88.94553553494785	31.934116852046195	0.0	1.7261986864740297	1.5344088504608366	4.81104849118359	3.8396876030685387	6.038936781300464e-15	0.0	0.0	0.0	0.0	0.0	0.0	2.197048126567333	0.0	20.28399168430445	6.575913495067376e-15	3.662607461518001e-15	0.0	9.757203579188612e-16	73.72796417094712	0.0	0.0
ME001-Tumor	13.755043559377059	4.198538212327134e-15	32.14290578242364	15.281519016337674	2.6273490072798046e-15	0.0	281.9439146944692	0.0	13.304575854488382	1.6331878763274194e-15	55.453218244440656	6.585634508380243e-15	1.5428904704942221	0.0	3.959828488601089e-16	1.0797775885750645e-14	8.154980621564414	0.0	1.4700071360993677e-14	0.0	6.7489397580465385	0.0	1.7649441384261052e-15	6.3547265649568095e-15	0.0	0.0	0.6720119983581917	3.583945431032309e-17	1.7338974154325828e-14	0.0
ME002-Tumor	2.8331994137447965e-15	1.0536761050740577	0.0	0.0	0.0	19.854948822206396	695.0237572107598	33.21390211392537	1.430061780411506	6.030596281175012e-16	107.30417173096419	0.0	0.0	0.0	0.0	2.2311918695723595e-14	0.0	0.0	1.811474343235909e-15	0.0	36.68418510408736	4.234718762235997	2.572390215949419e-15	0.0	0.0	0.0	0.0	4.200578370335381	0.0	2.0478193975397167e-15
ME009-Tumor	2.913507848153267e-14	270.59043383288525	0.0	0.0	3.960919604288638e-13	0.0	226.98634257474856	126.20049479964663	1.946004276056261e-13	22.947569953600873	3473.9055274360635	9.928189323855806e-15	1.7397372928517087e-15	0.0	9.445366435386702e-14	4.907340029065303e-14	1.369631403053371	1.460115064731948e-13	1.8309201831739113e-14	0.0	0.0	7.409263299147762e-14	3.2809275583952946e-14	0.0	0.0	0.0	7.684281191379267e-15	1.1687959736065288e-14	1.6960821525969646e-14	3.5079990662761965e-14
ME010-Tumor	0.0	0.0	12.237578294701212	9.927502640344917e-15	1.8918627278870767e-13	0.0	368.86071107298903	0.0	0.0	1.157296060143811e-15	47.80239008434735	22.96211573032092	1.2580369055300693	0.0	0.0	0.0	3.63416318931636	20.43528876012143	3.907632188950163e-14	19.5532617894398	8.30166316170724	1.9496416058648856	0.0	37.00514940566149	0.0	8.324140801959777e-15	5.885682740831227e-16	1.0413555117093789e-17	3.8993505457561066e-14	0.0
ME011-Tumor	0.0	5.659472152281211e-16	1.46024669782844e-14	24.51782797043617	6.196312534042101e-13	0.0	223.2336599290324	2.133554639479241e-14	0.0	7.482343381116708e-17	453.93419103575263	3.0059077239068518e-15	0.0	0.0	5.3807702509237486e-14	1.657017139561231e-15	0.0	0.0	7.652982893342036e-15	0.0	3.616287625654941e-14	2.210914739298546e-15	32.314321064778	0.0	3.198427448420474e-15	0.0	0.0	1.5442988524342493e-15	1.926462076459985e-15	6.9475856486033886e-15
ME012-Tumor	0.0	22.58747860900604	0.0	53.933254034436686	1.6008534813900106e-13	0.0	271.6170396681456	0.0	4.150582867022382e-15	0.0	0.0	0.0	0.0	0.0	0.0	2.519796168430514e-14	2.7984980298898407e-15	5.616576059735879e-16	9.780414097722865e-15	33.545238233944445	9.913738947020814e-17	3.7093525440873035e-16	2.467877126209046e-16	19.316989454466956	4.840830237858519e-14	3.412306394030051e-14	6.387736850665669e-16	1.4448180778602768e-16	1.0662390016558556e-14	5.374702667538148e-15
ME014-Tumor	3.5039507780148456e-14	0.0	0.0	18.717621763765454	3.999275131925816e-13	0.0	286.1377664557415	0.0	0.0	3.849287069230909e-17	4.351188866702038e-15	23.275110557642478	0.0	7.780396155679144e-15	1.0333193841340411e-14	2.39379660814208e-14	8.277836230403648e-16	15.330129235164044	0.0	81.78597293366629	30.23484509150458	6.677561614668334	1.349920467512081e-14	82.30104659179871	2.895955971956652e-14	0.0	1.9984845392493567e-15	3.5399457560482483	0.0	1.5118190513968177e-14
ME015-Tumor	0.0	0.0	0.0	3.561963636755266	2.9678782298540056e-13	0.5056089317103064	5.725542112853661	0.0	1.2352687070152881e-14	5.530492824064852e-16	4.672965142617588e-15	0.0	1.9525293046441958e-16	0.0	0.0	1.4268230725259025e-14	0.5461021801717574	23.411512834666173	4.3220201746783245e-15	36.28993873266635	8.245054910566802	0.0	0.0	29.71427666060933	0.0	1.4357298804924387e-14	1.3883324280777368e-17	1.2940207274373516e-15	0.0	0.0
ME016-Tumor	1.2774290542792185e-15	39.48301220444291	0.0	0.0	4.2957775709476814e-13	18.28827078640649	301.53037399329145	0.0	0.0	1.822981637334338e-15	17.062923102865053	1.838355748654459e-15	7.191783826859907e-16	2.9595842538490665e-14	0.0	7.277100753516466e-15	2.6229396823975973e-16	10.059520968722191	0.0	31.943413954711744	8.007942701025493e-17	1.0771231239964916	0.0	32.555361865563235	4.2779310482957187e-14	4.580822217414886e-15	2.1808677002278638e-17	2.0720158032111566e-15	1.475108231248362e-14	0.0
ME017-Tumor	0.0	16.063945345946497	2.654552014431362e-15	13.662584612541686	1.4161765648939524e-13	0.0	690.5143423932842	4.436944481738784e-15	1.0501454338194394e-16	3.0439070974663296	7.09116934643848	0.0	8.936175809727288e-16	3.723674686328874e-15	4.006896719160918e-15	4.653432040065984e-15	3.407246362967403e-16	21.553726064759342	1.0888249426670516e-14	28.49975848062096	0.0	4.2037583260981775	52.80997525409625	7.556833078748058	0.0	0.0	3.6408601785752093e-16	1.8014060701190223e-15	3.21717163853529e-15	1.872214776051981e-15
ME018-Tumor	1.9066648015172505e-15	0.0	1.4963195082969076e-14	22.125106576403898	9.806362814847499e-14	3.9743247188054975e-15	451.43046686208834	0.0	0.0	10.435272156874731	35.480396241268316	0.0	1.3121159631350808e-15	0.0	0.0	0.0	0.0	0.0	3.1941209265679275e-14	21.376258346323297	0.0	3.1610552909191793e-15	7.9616758630126805	0.0	1.9802730401991365e-14	5.035874410161725e-15	4.295801509190589e-16	0.0	6.190823954028579	0.0
ME020-Tumor	0.0	1.1857483827125034e-16	4.250646755003583	0.9672578668028888	0.0	0.0	484.5210074199874	0.0	6.6767760388027785e-15	0.0	42.36799001586498	0.0	7.674539574179004	9.107736629794791	1.8667526977451004e-15	7.895942849730653e-15	4.965567870696516e-16	7.9365131717938455	1.3855410012307134e-14	14.360632170079475	10.584205372204307	1.3802674726502762	0.0	8.849203551639313	0.0	0.0	0.0	0.0	0.0	0.0
ME021-Tumor	6.031794709130333e-15	11.467469154491852	0.0	39.853016210017174	1.195619585099973e-13	0.0	91.4606891709552	1.0598755470430195e-14	7.415112123208982e-15	0.0	9.845409070557832e-16	1.7639700502290976e-14	2.3794737111681023e-16	0.0	0.0	0.0	0.0	16.448306292429805	2.4529995892636917e-15	36.65333294631215	1.4003879277553163e-15	7.595733874008307e-16	0.0	9.117186225793661	0.0	0.0	0.0	1.901161016937897e-16	0.0	9.027607951454136e-15
